               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.078278,             0.05382,           0.0030697,             0.11076,             0.50049,             0.57386,             0.48492,             0.17158,             0.07107,            0.040383,            0.025765,            0.098025,           0.0092846,           0.0092846,           0.0092846
                  60,            0.078595,            0.051263,           0.0027956,             0.11024,             0.55872,             0.65004,             0.58619,             0.24629,            0.072002,            0.038823,            0.019561,            0.094634,           0.0092605,           0.0092605,           0.0092605
                  61,             0.07802,            0.053409,           0.0030346,             0.11067,             0.67392,             0.64285,             0.62527,             0.24562,            0.064131,            0.040701,            0.010206,            0.098975,           0.0092361,           0.0092361,           0.0092361
                  62,            0.078967,            0.053695,           0.0029758,             0.10931,             0.68577,             0.62052,             0.65827,             0.30539,            0.066035,            0.039262,            0.011512,            0.090657,           0.0092113,           0.0092113,           0.0092113
                  63,            0.076635,             0.05466,           0.0032206,             0.11032,             0.69491,              0.5796,             0.63263,             0.24262,            0.063224,             0.04039,            0.015296,            0.091714,           0.0091861,           0.0091861,           0.0091861
                  64,            0.077517,            0.054442,           0.0026963,             0.10968,             0.60727,             0.64579,             0.60234,             0.22398,            0.065307,            0.040452,            0.017789,             0.09985,           0.0091606,           0.0091606,           0.0091606
                  65,            0.077103,            0.054732,           0.0031166,             0.10844,             0.65148,             0.63012,             0.62255,             0.24869,            0.073394,            0.039022,            0.020183,            0.096192,           0.0091348,           0.0091348,           0.0091348
                  66,            0.075978,            0.054857,           0.0029217,             0.10946,             0.64905,             0.56638,             0.58347,             0.24364,            0.067517,            0.036835,            0.024442,             0.09329,           0.0091086,           0.0091086,           0.0091086
                  67,            0.076793,            0.052904,           0.0028138,             0.10871,             0.70079,             0.60118,             0.60841,             0.25108,            0.065363,            0.039786,           0.0094015,            0.094752,           0.0090821,           0.0090821,           0.0090821
                  68,             0.07594,            0.054202,           0.0027951,             0.10854,             0.63183,             0.61709,             0.58726,              0.2186,             0.07571,            0.040174,            0.017904,            0.095695,           0.0090552,           0.0090552,           0.0090552
                  69,             0.07555,            0.053817,           0.0029703,             0.10892,             0.62937,             0.56817,             0.54797,             0.18507,            0.066132,            0.043058,             0.01731,            0.097964,            0.009028,            0.009028,            0.009028
                  70,            0.074688,             0.05497,           0.0030071,             0.10754,             0.64744,             0.60874,             0.55712,             0.19025,            0.068285,            0.038749,            0.015396,            0.096991,           0.0090004,           0.0090004,           0.0090004
                  71,            0.075294,             0.05363,           0.0029919,             0.10738,             0.60037,             0.54565,             0.52881,              0.1799,            0.071979,            0.040779,            0.020635,            0.097027,           0.0089726,           0.0089726,           0.0089726
                  72,            0.074638,            0.053571,           0.0028534,             0.10728,             0.64408,             0.66685,             0.64337,             0.28459,            0.066986,            0.039628,            0.017453,              0.1018,           0.0089444,           0.0089444,           0.0089444
                  73,            0.074218,            0.054002,           0.0028153,             0.10612,              0.6674,             0.62639,             0.57698,             0.23326,            0.060334,            0.040148,            0.013701,            0.094867,           0.0089159,           0.0089159,           0.0089159
                  74,            0.074148,            0.054774,           0.0026718,              0.1065,              0.6276,             0.60063,              0.5964,             0.23939,            0.066319,            0.041125,             0.02978,            0.098497,            0.008887,            0.008887,            0.008887
                  75,             0.07639,            0.051872,           0.0027284,             0.10531,             0.59998,             0.64859,             0.55381,             0.18904,            0.070971,            0.042606,            0.024065,             0.10354,           0.0088579,           0.0088579,           0.0088579
                  76,            0.072958,            0.053819,           0.0027734,             0.10523,             0.56177,             0.56117,               0.519,             0.19283,            0.072955,            0.040481,            0.020435,            0.091723,           0.0088284,           0.0088284,           0.0088284
                  77,            0.073932,            0.053143,           0.0026999,             0.10574,             0.66957,             0.65157,             0.62041,             0.23586,            0.066393,             0.04012,           0.0079191,            0.096657,           0.0087987,           0.0087987,           0.0087987
                  78,            0.074141,            0.053924,           0.0024698,             0.10522,             0.72496,             0.60677,             0.64214,             0.29347,            0.065308,            0.043104,           0.0097802,             0.10136,           0.0087686,           0.0087686,           0.0087686
                  79,            0.073514,            0.053243,           0.0025989,             0.10534,             0.64787,             0.60822,             0.61371,             0.26453,            0.062697,            0.040305,            0.021971,             0.09627,           0.0087382,           0.0087382,           0.0087382
                  80,            0.073049,            0.054889,           0.0028274,             0.10553,             0.75154,             0.60588,             0.65838,             0.27693,             0.06098,            0.040872,            0.013429,            0.094071,           0.0087075,           0.0087075,           0.0087075
                  81,            0.073577,            0.052183,           0.0025829,             0.10337,             0.74204,             0.59564,             0.65378,              0.2914,             0.06572,             0.03892,            0.011828,            0.091854,           0.0086765,           0.0086765,           0.0086765
                  82,            0.073169,            0.053692,           0.0024422,             0.10444,             0.69808,             0.63295,             0.62859,              0.2611,             0.06611,             0.03849,             0.01251,            0.094238,           0.0086452,           0.0086452,           0.0086452
                  83,            0.072762,            0.052419,           0.0025538,             0.10331,             0.73192,             0.61058,             0.62383,             0.25558,            0.066057,            0.041156,           0.0091827,            0.095713,           0.0086137,           0.0086137,           0.0086137
                  84,            0.072635,            0.054179,           0.0024745,             0.10464,             0.69238,              0.6582,             0.62679,             0.26407,            0.062888,            0.042496,            0.010815,            0.095075,           0.0085818,           0.0085818,           0.0085818
                  85,            0.071469,            0.054009,           0.0023595,             0.10332,             0.66225,             0.63183,             0.58784,             0.26292,            0.071553,            0.041545,            0.025389,            0.099424,           0.0085497,           0.0085497,           0.0085497
                  86,            0.071918,            0.054329,           0.0028323,             0.10484,              0.6679,             0.68462,             0.65852,             0.28758,            0.062361,            0.039531,             0.02357,             0.10036,           0.0085173,           0.0085173,           0.0085173
                  87,            0.072009,            0.052913,           0.0026626,              0.1036,             0.71195,             0.60272,             0.63017,             0.26684,            0.064845,            0.041074,            0.018384,            0.098102,           0.0084846,           0.0084846,           0.0084846
                  88,            0.072609,            0.054287,           0.0025817,             0.10297,             0.73646,             0.65261,             0.67711,             0.29401,            0.064517,            0.041027,            0.016197,            0.095179,           0.0084516,           0.0084516,           0.0084516
                  89,            0.071117,            0.052548,           0.0026098,             0.10152,             0.71116,              0.5689,             0.57314,             0.21016,            0.063633,            0.040759,            0.024228,            0.092387,           0.0084184,           0.0084184,           0.0084184
                  90,            0.071356,            0.052881,           0.0025394,             0.10248,             0.65554,             0.62674,             0.61864,             0.26558,            0.061218,            0.040998,            0.020771,            0.096076,           0.0083849,           0.0083849,           0.0083849
                  91,            0.069993,            0.052194,            0.002358,             0.10297,             0.70289,             0.66262,             0.66821,             0.30914,            0.061701,               0.041,            0.016451,             0.10302,           0.0083511,           0.0083511,           0.0083511
                  92,            0.070837,            0.051231,           0.0022553,             0.10021,             0.70997,             0.66456,             0.65388,             0.28356,            0.061614,            0.042737,            0.013583,            0.094647,           0.0083171,           0.0083171,           0.0083171
                  93,            0.070011,            0.052305,           0.0021935,             0.10106,             0.70596,             0.67296,             0.65249,             0.29546,            0.063511,            0.044221,            0.017509,            0.094765,           0.0082829,           0.0082829,           0.0082829
                  94,            0.069834,            0.053274,           0.0025615,             0.10168,             0.73821,             0.66454,             0.67235,             0.29132,            0.062379,             0.04148,            0.013741,            0.092553,           0.0082483,           0.0082483,           0.0082483
                  95,            0.069447,            0.051394,           0.0022794,            0.099523,              0.7373,             0.62882,             0.65913,             0.26931,            0.061534,            0.040635,            0.011544,            0.093664,           0.0082136,           0.0082136,           0.0082136
                  96,            0.070488,            0.053219,           0.0020885,            0.099826,             0.72075,             0.69521,             0.67449,             0.29714,            0.064291,            0.040254,            0.013941,            0.094544,           0.0081786,           0.0081786,           0.0081786
                  97,            0.069558,            0.051544,             0.00221,            0.099204,             0.77629,             0.63255,             0.67945,             0.31903,             0.06254,            0.041295,           0.0086516,            0.087265,           0.0081433,           0.0081433,           0.0081433
                  98,            0.070344,            0.053431,           0.0024303,              0.1004,             0.69305,             0.64567,             0.62373,             0.24841,            0.063563,            0.040667,            0.018229,            0.099407,           0.0081078,           0.0081078,           0.0081078
                  99,            0.069484,            0.053571,           0.0021427,            0.099783,             0.68292,              0.6755,             0.63407,             0.28532,            0.059275,            0.043233,            0.031043,            0.088743,           0.0080721,           0.0080721,           0.0080721
                 100,            0.069446,            0.053019,           0.0023922,            0.098957,              0.6482,             0.59318,             0.58731,             0.21867,            0.069862,            0.040043,            0.022313,            0.090122,           0.0080362,           0.0080362,           0.0080362
                 101,            0.068231,            0.051341,           0.0023103,            0.098437,             0.70821,             0.67522,             0.65253,             0.30776,            0.062235,            0.041992,            0.027714,            0.091733,               0.008,               0.008,               0.008
                 102,            0.068542,            0.052388,            0.002289,            0.099678,             0.74315,             0.66861,             0.68694,              0.3017,            0.064146,            0.041379,            0.023801,            0.093133,           0.0079636,           0.0079636,           0.0079636
                 103,            0.068661,            0.052104,            0.002012,            0.098124,             0.73554,             0.60768,             0.65693,             0.29622,            0.064542,            0.042044,            0.023252,            0.090522,            0.007927,            0.007927,            0.007927
                 104,            0.069197,              0.0512,           0.0021624,            0.097785,             0.73006,             0.64974,             0.62875,             0.28143,            0.058799,            0.042644,            0.025983,            0.088373,           0.0078902,           0.0078902,           0.0078902
                 105,            0.068911,            0.053856,           0.0024058,            0.098556,             0.71215,             0.63761,             0.61573,              0.2756,            0.059707,            0.041203,            0.019698,            0.090846,           0.0078532,           0.0078532,           0.0078532
                 106,            0.069082,            0.053047,           0.0025235,            0.097333,             0.71315,             0.62724,             0.61938,             0.28123,            0.063645,            0.040203,            0.028911,            0.090932,            0.007816,            0.007816,            0.007816
                 107,            0.067805,            0.051041,           0.0023183,            0.097461,             0.70561,              0.6502,             0.62548,             0.28524,            0.064565,            0.041211,            0.020536,            0.090581,           0.0077785,           0.0077785,           0.0077785
                 108,            0.068723,            0.049705,           0.0021442,            0.096585,             0.71471,             0.66747,             0.67325,             0.32062,            0.060612,            0.042193,            0.021643,            0.088286,           0.0077409,           0.0077409,           0.0077409
                 109,             0.06774,            0.051075,           0.0020708,            0.096968,             0.71299,             0.63277,             0.61488,             0.28512,            0.057316,              0.0426,              0.0249,            0.087312,           0.0077031,           0.0077031,           0.0077031
                 110,            0.067695,            0.051411,           0.0021935,            0.096237,             0.70602,             0.62269,              0.6293,              0.2847,            0.059787,            0.044333,            0.029373,            0.092435,           0.0076651,           0.0076651,           0.0076651
                 111,            0.067396,            0.051874,           0.0020894,            0.095649,             0.72265,             0.67026,             0.63129,              0.2886,            0.062839,             0.04163,            0.033703,            0.096059,           0.0076269,           0.0076269,           0.0076269
                 112,            0.067134,            0.051249,           0.0019549,            0.095766,             0.73067,             0.65907,             0.66344,             0.31391,              0.0611,             0.04118,            0.013689,            0.087345,           0.0075886,           0.0075886,           0.0075886
                 113,            0.066813,             0.05035,           0.0022039,            0.095447,             0.73266,             0.64928,             0.66038,             0.29934,            0.062365,             0.04088,            0.020865,            0.089784,           0.0075501,           0.0075501,           0.0075501
                 114,            0.066931,            0.052287,           0.0022997,            0.096492,             0.69679,             0.66446,             0.62978,             0.30222,            0.061334,            0.042827,            0.026212,            0.092989,           0.0075114,           0.0075114,           0.0075114
                 115,            0.067994,            0.051267,           0.0019126,            0.094474,             0.73038,             0.67672,             0.67725,             0.30274,            0.061938,             0.04034,            0.024467,            0.092299,           0.0074725,           0.0074725,           0.0074725
                 116,            0.066576,            0.048694,           0.0019544,            0.093593,             0.71861,             0.63676,             0.62596,             0.27097,            0.060638,            0.041634,            0.028069,            0.096565,           0.0074335,           0.0074335,           0.0074335
                 117,            0.067264,            0.049831,           0.0020604,            0.095161,             0.72157,             0.66423,             0.65263,             0.32113,            0.056535,            0.041979,            0.019394,            0.086767,           0.0073943,           0.0073943,           0.0073943
                 118,            0.067776,             0.05039,           0.0020547,            0.093915,              0.7105,             0.69274,             0.67508,             0.31947,            0.059909,            0.042083,             0.02468,            0.089625,            0.007355,            0.007355,            0.007355
                 119,            0.067247,            0.050268,            0.001949,            0.092173,             0.70639,             0.65688,              0.6695,             0.31135,            0.056966,            0.041533,            0.031388,            0.087544,           0.0073155,           0.0073155,           0.0073155
                 120,            0.065294,            0.050878,           0.0020643,            0.092521,             0.67825,             0.62926,             0.61685,             0.22658,            0.065405,             0.04247,            0.025271,            0.093774,           0.0072758,           0.0072758,           0.0072758
                 121,            0.066041,             0.05078,           0.0019938,            0.092383,             0.71098,             0.63797,             0.64495,             0.29894,            0.057836,            0.042693,            0.023737,            0.092051,           0.0072361,           0.0072361,           0.0072361
                 122,            0.066275,            0.049401,           0.0017681,            0.091717,             0.74675,               0.597,              0.6471,             0.30937,            0.063824,            0.043035,            0.021185,            0.092025,           0.0071962,           0.0071962,           0.0071962
                 123,            0.065459,            0.050089,           0.0018162,            0.091835,             0.72067,             0.66243,             0.66169,             0.31896,            0.062662,            0.043447,            0.023739,            0.092277,           0.0071561,           0.0071561,           0.0071561
                 124,            0.065442,            0.050693,           0.0020218,            0.093274,             0.70138,             0.66421,             0.64725,             0.30071,             0.06029,            0.041003,            0.021497,            0.088378,            0.007116,            0.007116,            0.007116
                 125,            0.065796,            0.049891,           0.0018905,            0.091838,              0.7302,             0.63483,             0.65844,             0.30707,            0.060902,            0.042795,            0.020141,            0.095476,           0.0070757,           0.0070757,           0.0070757
                 126,            0.064929,            0.052001,           0.0019995,            0.092518,              0.6934,             0.60606,             0.61727,             0.29772,            0.056586,            0.045466,            0.021955,            0.094458,           0.0070353,           0.0070353,           0.0070353
                 127,            0.063561,            0.051517,            0.001898,            0.091796,             0.62215,              0.6785,             0.65276,             0.26696,            0.055965,            0.046765,            0.022279,            0.092721,           0.0069948,           0.0069948,           0.0069948
                 128,            0.057796,            0.054769,           0.0017454,            0.090545,             0.74011,             0.64929,             0.65647,             0.31725,            0.050404,            0.045393,            0.019162,            0.086012,           0.0069541,           0.0069541,           0.0069541
                 129,            0.056966,            0.055281,           0.0020415,            0.092559,             0.72711,             0.66751,             0.69237,             0.31423,            0.049506,            0.045566,            0.017275,            0.091838,           0.0069134,           0.0069134,           0.0069134
                 130,            0.056649,            0.053916,           0.0018025,            0.089743,             0.71574,             0.68043,              0.6995,             0.31301,            0.051546,             0.04735,            0.014681,            0.088519,           0.0068726,           0.0068726,           0.0068726
                 131,            0.056662,            0.055319,            0.001749,            0.090844,             0.69442,             0.68803,             0.68346,              0.3264,            0.054362,            0.045992,            0.019971,             0.09159,           0.0068316,           0.0068316,           0.0068316
                 132,            0.054865,            0.053436,           0.0017982,            0.090276,             0.70081,             0.65154,             0.65525,             0.31322,            0.052324,            0.048021,            0.020424,            0.091988,           0.0067906,           0.0067906,           0.0067906
